Meas, V1, V2, V3, V4
231, -0.020429089, 0.009045577, -0.014051640, -0.006616657
232, 0.016333989, 0.011031258, -0.008284989, -0.013289101
233, -0.005120089, 0.016878233, -0.012902414, -0.020119329
234, -0.010319407, 0.003108685, 0.016460047, -0.005007212
235, 0.021628760, -0.011271321, 0.020781977, -0.003470162
236, 0.013638973, 0.018131553, -0.009152859, 0.024830986
237, -0.021121273, 0.007142535, 0.025803074, 0.008470094
238, 0.008957773, 0.008155059, 0.030283230, -0.004695828
239, -0.018004833, 0.015871220, 0.011969388, 0.007076479
240, 0.017255229, -0.023999274, -0.012508561, -0.006355595
241, 0.015975475, 0.010007733, -0.000420761, 0.011931893
242, 0.019945626, 0.004450485, -0.018780801, 0.013667088
243, 0.026672295, 0.014251317, 0.012202715, -0.020266733
244, -0.024502671, -0.010314102, -0.007584558, 0.027799490
245, 0.014514022, 0.025226191, 0.020462149, 0.003692849
246, -0.026489685, -0.008423980, -0.022031783, 0.010021942
247, -0.009288881, -0.012766895, -0.011540174, 0.019857141
248, 0.009291136, -0.012848094, 0.004703622, 0.001933885
249, 0.027916475, 0.025976650, 0.013847672, -0.005394007
250, -0.007760013, -0.021081552, 0.002366044, -0.014503606
251, -0.001229468, 0.012585638, 0.018944560, 0.004019185
252, -0.018015715, 0.029155071, -0.017609140, -0.006629398
253, -0.016206677, -0.004253639, 0.028238720, 0.011892903
254, 0.023760538, 0.023709587, 0.006728965, 0.012053915
255, -0.007268052, -0.019300254, 0.000484197, -0.015739426
256, -0.000632038, 0.001235268, 0.005056749, -0.010982295
257, -0.004762918, -0.015982104, -0.023769659, -0.005244752
258, 0.003540761, 0.020376922, 0.000457868, 0.003504351
259, 0.018157707, 0.006160897, 0.018983591, 0.022329364
260, 0.011440307, -0.011785674, -0.011117355, -0.019848439
261, -0.011676015, 0.000820112, -0.020086711, 0.027520330
262, -0.019910866, 0.011007875, -0.014030025, -0.010374459
263, -0.019622616, 0.026565915, -0.001850924, 0.009398798
264, 0.018122994, 0.019497197, -0.019265127, 0.008170527
265, -0.018246287, -0.030046491, 0.020095664, -0.008544076
266, 0.020557053, 0.004000001, -0.000177392, -0.001462297
267, -0.014433331, 0.014642799, -0.016593927, 0.000107501
268, 0.017605511, 0.017403834, 0.024405711, -0.015999455
269, 0.006247738, 0.023337881, 0.025635580, -0.021272110
270, -0.018977743, 0.000061182, -0.019453708, -0.001690402
271, 0.027055399, -0.024100497, -0.008481392, -0.020640428
272, 0.025908730, 0.012273863, 0.023505216, 0.023454328
273, -0.020610534, 0.008647435, -0.002275877, -0.028096044
274, 0.012970008, 0.018079641, 0.026190895, 0.026469605
275, 0.022884608, 0.000296888, 0.013666770, -0.003381300
276, 0.005325320, 0.001149432, 0.009024719, -0.003564622
277, -0.014511108, -0.000014902, -0.000606773, -0.012830289
278, -0.003274181, -0.024648509, 0.010022930, 0.006371063
279, -0.010614386, 0.017529469, -0.015597551, 0.019610701
280, -0.011263827, -0.011043076, 0.023122138, 0.003713771
281, -0.013490817, -0.013829837, 0.025774768, -0.006160086
282, -0.015628839, 0.016138452, 0.014008335, 0.021788454
283, -0.004773519, -0.007396447, 0.012408550, -0.005759171
284, -0.015699232, 0.021802618, -0.024768327, 0.001403204
285, -0.003304029, 0.003152127, 0.000152018, 0.002570668
286, -0.010132005, 0.003443152, -0.005589675, 0.003576221
287, -0.000414289, 0.028067555, 0.006595378, -0.003672401
288, -0.013921018, 0.002134775, -0.025113796, 0.026397184
289, -0.007736768, 0.018536082, 0.011700248, 0.013922895
290, 0.018125076, -0.023747434, 0.020893783, -0.020962325
291, 0.020390311, -0.021422975, 0.022291346, -0.002259335
292, -0.023238777, -0.022792534, 0.004698302, 0.001763129
293, -0.015702983, 0.021965845, -0.003050753, -0.006877878
294, -0.021204927, -0.030725143, -0.001932083, -0.018416062
295, -0.025448081, -0.026867743, 0.022305906, 0.020307157
296, 0.007890784, 0.001860709, -0.025670020, 0.013194193
297, 0.016381797, 0.018022910, -0.006300649, 0.001203398
298, 0.022348312, -0.020050105, 0.003641540, 0.018468766
299, 0.001402609, -0.003018321, -0.013013265, 0.024151033
300, 0.016678435, -0.013606041, -0.012972206, -0.022770544
301, -0.009640365, 0.022430921, 0.002693306, 0.016301013
302, -0.009737744, 0.010082683, 0.025933491, 0.023216237
303, -0.019026957, -0.002430175, -0.001207201, 0.010011993
304, 0.001155376, -0.029738752, -0.003264378, 0.030593557
305, -0.012357811, 0.006116840, -0.017691284, -0.017574101
306, 0.019535279, -0.025455501, 0.020304205, 0.007970030
307, -0.005213049, 0.009291444, -0.021500744, -0.006760430
308, 0.022385377, 0.006402667, -0.015872592, -0.014703919
309, -0.020094238, -0.011257774, -0.022461700, -0.019373987
310, -0.005158309, 0.020948399, -0.019013423, -0.015846816
311, 0.015326814, -0.018890949, -0.015786147, -0.003796835
312, -0.026699667, -0.006624112, 0.018422567, -0.017129999
313, -0.000084288, -0.020169451, 0.026787499, -0.024816391
314, 0.013878945, -0.005066612, 0.014033151, 0.017238965
315, 0.012470107, -0.006031421, -0.001905932, -0.006192567
316, -0.019537131, 0.010486861, -0.011125746, 0.008374225
317, 0.010443078, 0.012186364, -0.022342750, 0.021557733
