Meas, V1, V2, V3, V4
167, 0.016563414, 0.011259657, 0.004071908, 0.015982989
168, 0.022908363, -0.004978036, 0.033304161, -0.000292989
169, 0.020715714, -0.008589730, 0.026078501, 0.023822747
170, 0.024161189, 0.024565537, 0.017949883, 0.040007343
171, 0.026714265, 0.022786989, 0.024197482, 0.012130963
172, 0.030481004, 0.016953236, 0.038411694, 0.031689477
173, 0.029747611, 0.009450229, 0.007797495, 0.015496575
174, 0.012932244, -0.007304603, 0.024138342, 0.042220163
175, 0.047948158, -0.007907865, 0.013136626, -0.001745518
176, 0.016962716, -0.000359314, 0.040417814, 0.030114390
177, 0.007141522, 0.030393804, 0.034797898, -0.002084182
178, 0.037710650, -0.005343978, 0.026427723, 0.025465239
179, -0.006989077, 0.021004235, -0.004881219, 0.011896135
180, 0.002591780, 0.007869221, 0.028703275, 0.041979298
181, 0.008320046, 0.018674024, 0.018318529, 0.017345289
182, 0.036164219, -0.005389727, 0.002946095, 0.031917210
183, -0.003335014, 0.018721066, 0.050453761, 0.025740123
184, 0.002370211, 0.033249953, 0.024953213, -0.010068623
185, 0.012201326, -0.000097920, 0.014623336, 0.017660865
186, 0.049492335, 0.029492971, 0.032460256, 0.037385557
187, 0.007943125, -0.005765886, 0.033357116, 0.007105208
188, 0.016216895, -0.008828891, -0.000717733, 0.037633598
189, 0.036857375, 0.022707360, 0.040179539, 0.019269483
190, 0.010103316, -0.004630340, 0.010660982, 0.011034037
191, 0.038770007, 0.022037559, 0.025500838, 0.028976294
192, -0.007083954, 0.025583940, 0.023810637, -0.005063067
193, 0.018794413, 0.019825442, 0.028072938, -0.004899658
194, 0.035706698, 0.037455778, 0.013602590, -0.002078161
195, 0.027599110, 0.013051792, 0.019072310, 0.043837528
196, -0.008020535, 0.034734102, 0.044310169, 0.011488756
197, 0.025507098, -0.008066816, -0.002257312, 0.012547235
198, 0.019818316, 0.024043235, 0.021786418, 0.007626455
199, -0.016053096, -0.008349139, -0.002321004, 0.011004010
200, 0.038517405, 0.026809555, -0.003157477, -0.006694419
201, 0.008928824, -0.003131706, 0.043336374, 0.015687063
202, 0.007226072, -0.012449672, 0.006382778, -0.000448581
203, 0.015493583, 0.038929541, 0.034514781, 0.017686821
